Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz database timezone,Type,Source,run_id,load_timestamp,source
Kozyrevsk Airport,Kozyrevsk,Russia,\N,UHPO,56.09000015258789,159.8766632080078,331,12,N,Asia/Anadyr,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Dikson Airport,Dikson,Russia,DKS,UODD,73.51780700683594,80.37966918945312,47,7,N,Asia/Krasnoyarsk,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Beverley Airport,Mine Site,Australia,\N,YBEE,-30.18670082092285,139.55799865722656,116,9.5,O,Australia/Adelaide,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Bantry Aerodrome,Bantry,Ireland,BYT,EIBN,51.66859817504883,-9.484169960021973,7,0,E,Europe/Dublin,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Aliwal North Airport,Aliwal North,South Africa,\N,FAAN,-30.68000030517578,26.729999542236328,4405,2,U,Africa/Johannesburg,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Alkantpan Copper Airport,Alkantpan,South Africa,\N,FACO,-29.906400680541992,22.316699981689453,3589,2,U,Africa/Johannesburg,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Alldays Airport,Alldays,South Africa,ADY,FAAL,-22.6790008545,29.0555000305,2600,2,U,Africa/Johannesburg,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Bredasdorp Airport,Barberton,South Africa,\N,FABR,-34.665,20.0628,30,2,U,Africa/Johannesburg,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Butler Co Regional Airport - Hogan Field,Hamilton,United States,HAO,KHAO,39.3638000488,-84.5220031738,633,-5,A,America/New_York,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Bungoma Airport,Bungoma,Kenya,\N,HKBU,0.5762079954147339,34.55345153808594,4726,3,U,Africa/Nairobi,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Bura East Airport,Bura,Kenya,\N,HKBR,-1.100000023841858,39.95000076293945,345,3,U,Africa/Nairobi,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Busia Airport,Busia,Kenya,\N,HKBA,0.4570850133895874,34.130279541015625,3989,3,U,Africa/Nairobi,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
Embu Airport,Embu,Kenya,\N,HKEM,-0.57327,37.49726,4150,3,U,Africa/Nairobi,airport,OurAirports,4c5cf1b2-1b68-4ed6-8b1d-3df6d338a5c5,2026-06-29 14:30:06,https://raw.githubusercontent.com/jpatokal/openflights/master/data/airports.dat
